year, semester, courseName, type, units, lec/lab,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(AH), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(SSP), 3, lec,
1, 1, , ge(MST), 3, lec,
1, 1, math11, service, 3, lec,
1, 1, pe1, service, 2, lec,
1, 1, , nstp, 3, lec,
1, 2, , ge(AH), 3, lec,
1, 2, , ge(AH), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(SSP), 3, lec,
1, 2, , ge(MST), 3, lec,
1, 2, math14, service, 3, lec,
1, 2, , pe, 2, lec,
1, 2, , nstp, 3, lec,
2, 1, , ge(AH), 3, lec,
2, 1, , ge(SSP), 3, lec,
2, 1, , ge(MST), 3, lec,
2, 1, math100, service, 4, lec,
2, 1, ba99.1, core, 3, lec,
2, 1, mgt101, core, 3, lec,
2, 1, , pe, 2, lec,
2, 2, econ11, service, 3, lec,
2, 2, polsci14, service, 3, lec,
2, 2, math101, service, 3, lec,
2, 2, ba99.2, core, 3, lec,
2, 2, mgt104, core, 3, lec,
2, 2, mgt183,  ore, 3, lec,
2, 2, , pe, 2, lec,
3, 1, mgt121, core, 3, lec,
3, 1, mgt161, core, 3, lec,
3, 1, mgt170, core, 3, lec,
3, 1, mgt181, core, 3, lec,
3, 1, mgt186, core, 3, lec,
3, 1, econ101, service, 3, lec,
3, 2, , ge(MST), 3, lec,
3, 2, mgt115, core, 3, lec,
3, 2, mgt162, core, 3, lec,
3, 2, mgt187, core, 3, lec,
3, 2, econ102, service, 3, lec,
3, 2, eng11, service, 3, lec,
3, midyear, mgt196, core, 3, lec,
4, 1, mgt141, core, 3, lec,
4, 1, mgt197, core, 3, lec,
4, 1, mgt199, core, 3, lec,
4, 1, pi100, service, 3, lec,
4, 1, , elective, 3, lec,
4, 1, , elective, 3, lec,
4, 2, mgt142, core, 3, lec,
4, 2, mgt190, core, 3, lec,
4, 2, mgt191, core, 3, lec,
4, 2, , elective, 3, lec,
4, 2, , freeelective, 3, lec,